uid,label,squig,lin_reg,lin_reg_chi,stddev_step_speed
lab_0_0,0,0.21318388991283632,0.9925329517714724,0.9888691625130435,17.360220602858778
lab_0_1,0,0.2082858936729761,0.9738436672617776,1.938907586663217,17.30830628261362
lab_0_2,0,0.21746062605318378,0.89424218494683,6.60495378427147,17.300169309803433
lab_0_3,0,0.21580412790326914,0.9670255868649273,5.758684780848456,17.376369137758783
lab_0_4,0,0.19587746848615573,0.00029594260199672373,1.5124286301773089,17.205146454842666
lab_0_5,1,0.9456712454476386,0.5847386408758102,624.543033425059,32.63604922750497
lab_0_6,1,0.9711066300429017,0.015500408049867742,1469.9704299939067,16.93286653836112
lab_1_0,1,0.9272928592097412,0.868483298207884,1335.2274559378163,57.747945935865346
lab_1_1,0,0.18092291550554615,0.9997448556603578,0.028084313322055306,17.332247215625078
lab_1_2,0,0.6707495315128247,0.9760765550239234,0.010951350237064523,4.071101481719342
lab_1_3,1,0.7844322630427382,0.9221294432903308,1497.3011150072332,112.31494828465192
lab_1_4,0,0.48478711076721887,0.9997891908022718,0.9486232684626493,37.70907796956301
lab_1_5,1,1.1888823460901128,0.3178635128893439,1137.335754191373,25.52870628046913
lab_1_6,1,0.3378052666336472,0.9987511630685301,97.22768703038311,111.02428386384796
lab_1_7,1,0.8363315112418032,0.9717144646668546,30.056702101118056,21.41898552425152
lab_1_8,1,1.103261254337935,0.8669999999999978,0.7388888888889016,11.987839336809575
lab_1_9,1,1.3598397302297434,0.9977617905675469,0.1749999999999318,13.339946128119662
lab_2_0,1,1.113802854638244,0.3065769816829028,134.62090434908782,51.70260911879795
lab_2_1,1,1.1755150359000293,0.13110616596955915,2179.4200624918676,61.135797703455836
lab_2_2,1,0.8620264473741707,0.9837827306245069,59.78206907548424,89.81967015465575
lab_2_3,1,1.1318840763783076,0.6646924839298283,2328.5098869855387,60.5963456393428
lab_2_4,0,0.17992528324248397,0.9992932701813448,0.023586681953590004,17.33601172219051
lab_2_5,1,1.2795682549345677,0.8857883466480164,374.482610673746,68.35581731983544
lab_2_6,1,1.0257546824111192,0.8298580937897918,3066.94652573594,52.76459112021064
lab_2_7,1,1.2526107192893692,0.8305622413846093,180.54400624603525,12.418125888840013
lab_2_8,1,1.5707963267948966,1.0,0.0,0.0
lab_2_9,1,0.5730305489008808,0.9959285980135135,411.9702276791995,98.19524395078815
lab_2_10,1,1.3253416833820653,0.26269793657228635,71.6409773384323,17.285867833990864
