uid,label,mean_step_speed,stddev_step_speed,track_length,e2e_distance,duration
lab_0_0,0,0.1730878285772176,0.10014095198813815,51.926348573165285,40.40877174574849,300.0
lab_0_1,0,0.1650476614328481,0.08619363543140106,49.514298429854435,32.95732246405949,300.0
lab_0_2,0,0.16738812570567846,0.09917697333255542,50.216437711703534,31.649486141168218,300.0
lab_0_3,0,0.21592692177618394,0.10979698441029707,64.77807653285518,42.52494808932751,300.0
lab_0_4,0,0.09778595893060893,0.0969844810748326,29.33578767918268,1.616935682085197,300.0
lab_0_5,1,3.263915719831237,0.7418042588539931,381.87813922025475,339.8043588243093,117.0
lab_0_6,1,1.9504918201789678,0.821394668120148,306.22721576809795,147.71040836718308,157.0
lab_1_0,1,4.621280730051717,2.5911162743856155,1386.3842190155153,961.6761409123136,300.0
lab_1_1,0,0.12528391629707983,0.0069354392266313195,37.58517488912395,36.49657518178932,300.0
lab_1_2,0,0.11180397130839168,0.05590234341843211,2.2360794261678336,2.23606797749979,20.0
lab_1_3,1,12.513858438965908,3.0595350250522833,1126.2472595069316,1085.7927979131193,90.0
lab_1_4,0,6.274431987095902,0.8405374704959769,250.97727948383607,247.54191564258366,40.0
lab_1_5,1,7.7445549672350165,3.0349393031428376,867.3901563303218,255.01764644824092,112.0
lab_1_6,1,13.423882295707177,3.3298077200006366,1141.02999513511,1045.1913700370856,85.0
lab_1_7,1,4.042375201204968,1.220241852868358,189.9916344566335,146.57762448614045,47.0
lab_1_8,1,5.361343395001338,2.319697609792176,42.890747160010704,42.2965719651132,8.0
lab_1_9,1,15.265199339138315,1.818522056425069,45.795598017414946,45.79301256742124,3.0
lab_2_0,1,8.566769506125334,4.8895649986455805,436.905244812392,380.1473398565351,51.0
lab_2_1,1,6.789065377066827,3.2451956492599114,862.211302887487,688.7437840009883,127.0
lab_2_2,1,14.027560283552868,1.8884398440198866,659.2953333269847,641.0818980442358,47.0
lab_2_3,1,8.696963940553196,2.439224173454702,791.4237185903409,585.702996406882,91.0
lab_2_4,0,0.0727721087289137,0.0008418075742379896,22.04994894486085,21.540659228538015,303.0
lab_2_5,1,14.69731889148386,3.3635014087043094,543.8007989849028,439.7101317913882,37.0
lab_2_6,1,9.911454996930708,3.4187335877218166,1030.7913196807935,542.2739160239961,104.0
lab_2_7,1,8.528467844070706,3.9655344539392483,375.25258513911103,77.0,44.0
lab_2_8,1,16.0,0.0,16.0,16.0,1.0
lab_2_9,1,11.23574927563762,4.029657086503839,1134.8106768393995,1002.0144709533889,101.0
lab_2_10,1,7.203504630840061,4.664795252500532,151.27359724764128,84.8528137423857,21.0
lab_2_11,1,19.002322870005955,2.5648376577700662,171.02090583005358,170.3202865192517,9.0
lab_2_12,1,10.520108416386648,1.4412907088685463,42.08043366554659,40.311288741492746,4.0
lab_2_13,1,7.549634571381651,2.798328689599803,1102.246647421721,505.72917653621687,146.0
lab_2_14,1,10.466302716166888,4.782590747027977,104.66302716166888,103.23759005323593,10.0
lab_2_15,1,11.716219677069347,3.474658555693355,1405.9463612483216,586.436697351044,120.0
lab_2_16,1,10.36740019551718,2.5504689737360784,1140.4140215068896,747.5433097821156,110.0
