uid,label,stddev_step_speed,chi,squarederr
lab_0_0,0,0.10014095198813815,5783.762954474441,1740912.6492968067
lab_0_1,0,0.08619363543140106,22473.423601151087,6764500.503946481
lab_0_2,0,0.09917697333255542,33540.1411450156,10095582.484649695
lab_0_3,0,0.10979698441029707,6022.956032442923,1812909.7657653193
lab_0_4,0,0.0969844810748326,1125.774924516216,338858.25227938127
lab_0_5,1,0.7418042588539931,545353.528458738,64351716.35813109
lab_0_6,1,0.821394668120148,44517637.78677956,7033786770.31117
lab_1_0,1,2.5911162743856155,608422.6008507087,183135202.85606328
lab_1_1,0,0.0069354392266313195,477.32456391491297,143674.6937383888
lab_1_2,0,0.05590234341843211,6.250952476190452,131.27000199999952
lab_1_3,1,3.0595350250522833,2816125.803981296,256267448.1622979
lab_1_4,0,0.8405374704959769,10465.429139909156,429082.5947362752
lab_1_5,1,3.0349393031428376,39064202.81658896,4414254918.274552
lab_1_6,1,3.3298077200006366,66458.64776027983,5715443.707384063
lab_1_7,1,1.220241852868358,369.64672420006394,17743.04276160307
lab_1_8,1,2.319697609792176,37892314.11111112,341030827.0
lab_1_9,1,1.818522056425069,1925589.89453125,7702359.578125
lab_2_0,1,4.8895649986455805,958846.2406423265,49860004.51340098
lab_2_1,1,3.2451956492599114,54923347.42853805,7030188470.85287
lab_2_2,1,1.8884398440198866,6717621.97999281,322445855.03965485
lab_2_3,1,2.439224173454702,2739945.9682291136,252075029.07707837
lab_2_4,0,0.0008418075742379896,5175.459628146843,1573339.7269566404
lab_2_5,1,3.3635014087043094,1989708.5245593728,75608923.93325618
lab_2_6,1,3.4187335877218166,9670.623981106963,1015415.5180162308
lab_2_7,1,3.9655344539392483,8833.13055555556,397490.875
lab_2_8,1,0.0,inf,inf
lab_2_9,1,4.029657086503839,4466.1133365985825,455543.56033305527
lab_2_10,1,4.664795252500532,49152332.87026328,1081351323.145792
lab_2_11,1,2.5648376577700662,158.07973217132547,1580.7973217132549
lab_2_12,1,1.4412907088685463,1049.389060642091,5246.945303210455
lab_2_13,1,2.798328689599803,5525.038347506384,812180.6370834385
lab_2_14,1,4.782590747027977,1012496.7397374546,11137464.137112
lab_2_15,1,3.474658555693355,189680.92710807943,22951392.180077612
lab_2_16,1,2.5504689737360784,11876.446995270124,1318285.616474984
lab_2_17,1,2.7152124726282807,69633.26413721705,1531931.8110187748
lab_2_18,1,1.8019606632018357,272.03457900877726,12785.625213412533
