t,x,y,label
231,584.0,1.0,1
232,584.0,4.0,1
233,586.0,10.0,1
234,589.0,15.0,1
235,591.0,21.0,1
236,594.0,24.0,1
237,597.0,28.0,1
238,599.0,31.0,1
239,602.0,34.0,1
240,606.0,37.0,1
241,609.0,40.0,1
242,613.0,44.0,1
243,616.0,47.0,1
244,618.0,49.0,1
245,621.0,53.0,1
246,623.0,56.0,1
247,625.0,59.0,1
248,628.0,61.0,1
249,630.0,62.0,1
250,631.0,63.0,1
251,631.0,65.0,1
252,632.0,67.0,1
253,632.0,67.0,1
254,633.0,66.0,1
255,633.0,65.0,1
256,633.0,66.0,1
257,633.0,67.0,1
258,633.0,68.0,1
259,634.0,69.0,1
260,635.0,72.0,1
261,636.0,74.0,1
262,636.0,75.0,1
263,638.0,77.0,1
264,642.0,79.0,1
265,645.0,81.0,1
266,649.0,82.0,1
267,652.0,83.0,1
268,657.0,83.0,1
269,660.0,85.0,1
270,663.0,88.0,1
271,665.0,92.0,1
272,667.0,95.0,1
273,669.0,98.0,1
274,672.0,99.0,1
275,673.0,102.0,1
276,675.0,105.0,1
277,675.0,109.0,1
278,675.0,112.0,1
279,678.0,116.0,1
280,680.0,119.0,1
281,682.0,120.0,1
282,684.0,122.0,1
283,686.0,124.0,1
284,690.0,124.0,1
285,692.0,126.0,1
286,696.0,127.0,1
287,699.0,128.0,1
288,701.0,129.0,1
289,703.0,128.0,1
290,705.0,127.0,1
291,706.0,125.0,1
292,706.0,123.0,1
293,706.0,122.0,1
294,707.0,119.0,1
295,706.0,116.0,1
296,705.0,114.0,1
297,704.0,113.0,1
298,703.0,113.0,1
299,701.0,113.0,1
300,699.0,114.0,1
